Page,EntryNo,Level,Name,Tier,Cost,Date
1,1,Level 1,Farsea Gem,Tier 2,1400,2022.09.22
1,2,Level 1,Farsea Gem,Tier 2,1400,2022.09.22
1,3,Level 1,Annihilation Gem,Tier 3,11,2022.09.22
1,4,Level 1,Annihilation Gem,Tier 3,11,2022.09.22
1,5,Level 1,Annihilation Gem,Tier 3,11,2022.09.22
1,6,Level 1,Crimson Flame Gem,Tier 3,11,2022.09.22
1,7,Level 1,Annihilation Gem,Tier 3,11,2022.09.22
1,8,Level 1,Annihilation Gem,Tier 3,11,2022.09.22
1,9,Level 1,Crimson Flame Gem,Tier 3,11,2022.09.22
1,10,Level 1,Annihilation Gem,Tier 3,11,2022.09.22
2,1,Level 1,Crimson Flame Gem,Tier 3,11,2022.09.22
2,2,Level 1,Annihilation Gem,Tier 3,11,2022.09.22
2,3,Level 1,Annihilation Gem,Tier 3,11,2022.09.22
2,4,Level 5,Crimson Flame Gem,Tier 3,1499,2022.09.22
2,5,Level 1,Crimson Flame Gem,Tier 3,9,2022.09.22
2,6,Level 5,Crimson Flame Gem,Tier 3,1197,2022.09.22
2,7,Level 1,Crimson Flame Gem,Tier 3,9,2022.09.22
2,8,Level 1,Crimson Flame Gem,Tier 3,9,2022.09.22
2,9,Level 5,Crimson Flame Gem,Tier 3,1197,2022.09.22
2,10,Level 1,Azure Gem,Tier 2,558,2022.09.22
3,1,Level 1,Azure Gem,Tier 2,1250,2022.09.22
3,2,Level 1,Crimson Flame Gem,Tier 3,1300,2022.09.22
3,3,Level 1,Farsea Gem,Tier 2,1300,2022.09.22
3,4,Level 1,Crimson Flame Gem,Tier 3,1300,2022.09.22
3,5,Level 1,Azure Gem,Tier 2,1700,2022.09.22
3,6,Level 1,Farsea Gem,Tier 2,1300,2022.09.22
3,7,Level 1,Crimson Flame Gem,Tier 3,9,2022.09.22
3,8,Level 1,Crimson Flame Gem,Tier 3,11,2022.09.22
3,9,Level 1,Crimson Flame Gem,Tier 3,11,2022.09.22
3,10,Level 5,Farsea Gem,Tier 2,48500,2022.09.22
4,1,Level 1,Crimson Flame Gem,Tier 3,9,2022.09.22
4,2,Level 1,Annihilation Gem,Tier 3,11,2022.09.22
4,3,Level 1,Annihilation Gem,Tier 3,11,2022.09.22
4,4,Level 1,Azure Gem,Tier 2,1,2022.09.22
4,5,Level 1,Annihilation Gem,Tier 3,9,2022.09.22
4,6,Level 1,Crimson Flame Gem,Tier 3,11,2022.09.22
4,7,Level 1,Crimson Flame Gem,Tier 3,11,2022.09.22
4,8,Level 1,Crimson Flame Gem,Tier 3,11,2022.09.22
4,9,Level 1,Crimson Flame Gem,Tier 3,11,2022.09.22
4,10,Level 2,Farsea Gem,Tier 2,22,2022.09.22
5,1,Level 1,Annihilation Gem,Tier 3,9,2022.09.22
5,2,Level 1,Annihilation Gem,Tier 3,11,2022.09.22
5,3,Level 1,Annihilation Gem,Tier 3,11,2022.09.22
5,4,Level 1,Farsea Gem,Tier 2,1,2022.09.22
5,5,Level 1,Annihilation Gem,Tier 3,9,2022.09.22
5,6,Level 1,Annihilation Gem,Tier 3,11,2022.09.22
5,7,Level 1,Crimson Flame Gem,Tier 3,11,2022.09.22
